nodes,label,type,id,orig_label,new_id,preds,confidence
q-software-solutions.de,-1,url,29883,-1,29883,0,0.8848756
uweroandgross.com,-1,url,31815,-1,31815,0,0.8848092
tuttouno.blogspot.com,-1,url,29991,-1,29991,0,0.88475376
astutenews.com,-1,url,32078,-1,32078,0,0.88412654
theync.net,-1,url,42049,-1,42049,0,0.8838541
africanczech.blogspot.com,-1,url,31573,-1,31573,0,0.88377476
urgencesolidarite.fr,-1,url,13652,-1,13652,0,0.8837138
a-droite-fierement.fr,-1,url,31101,-1,31101,0,0.8836424
sizwemahlala.blogspot.com,-1,url,31567,-1,31567,0,0.8830941
pornofilip.com,-1,url,42649,-1,42649,0,0.88304794
sackstark.info,-1,url,26600,-1,26600,0,0.882982
aphadolie.com,-1,url,24279,-1,24279,0,0.88283306
themarketmonitor.com,-1,url,30433,-1,30433,0,0.8828326
enterstageright.com,-1,url,38177,-1,38177,0,0.88240063
ip2always.win,-1,url,40959,-1,40959,0,0.88235235
pilitouromanou.blogspot.com,-1,url,41437,-1,41437,0,0.8817094
normandie.me,-1,url,39851,-1,39851,0,0.8813637
rapportorelationship.blogspot.com,-1,url,42021,-1,42021,0,0.88102555
billstclair.com,-1,url,43080,-1,42952,0,0.8809346
bilitime.com,-1,url,23967,-1,23967,0,0.8802426
woodstermangotwood.blogspot.com,-1,url,29521,-1,29521,0,0.88015896
ccn1.net,-1,url,41502,-1,41502,0,0.88014525
brasspills.com,-1,url,26091,-1,26091,0,0.8801033
dailyresister.com,-1,url,43254,-1,43026,0,0.88006586
yamedo.de,-1,url,24477,-1,24477,0,0.879859
shootery.blogspot.com,-1,url,37176,-1,37176,0,0.8798077
scottgronmark.blogspot.com,-1,url,38190,-1,38190,0,0.87976974
annasempe.blogspot.com,-1,url,31570,-1,31570,0,0.8795442
arnehoffmann.blogspot.com,-1,url,32158,-1,32158,0,0.87954265
logisticsmonster.com,-1,url,43528,-1,43175,0,0.8794179
report-corruption.com,-1,url,27804,-1,27804,0,0.8789326
aumorning.com,-1,url,23969,-1,23969,0,0.87885433
gaw.social,-1,url,38719,-1,38719,0,0.8787731
ladirection333.blogspot.com,-1,url,32630,-1,32630,0,0.87784594
ushanka.us,-1,url,43083,-1,42954,0,0.8777793
iomaire.com,-1,url,37570,-1,37570,0,0.87769204
multiapro.com,-1,url,27759,-1,27759,0,0.8773534
wonkielover.blogspot.com,-1,url,31566,-1,31566,0,0.8771313
madashellnews.com,-1,url,42036,-1,42036,0,0.8765998
broeckers.com,-1,url,31834,-1,31834,0,0.8765428
fuelinjectedmoose.blogspot.com,-1,url,27673,-1,27673,0,0.876448
miziaforum.com,-1,url,39019,-1,39019,0,0.87573093
infolibre.gr,-1,url,37195,-1,37195,0,0.8755751
entensity.net,-1,url,26305,-1,26305,0,0.8754028
strategika.fr,-1,url,13712,-1,13712,0,0.8753768
theblogmire.com,-1,url,38191,-1,38191,0,0.87523013
hajij.com,-1,url,29975,-1,29975,0,0.8744284
thefreeholder.net,-1,url,21515,-1,21515,0,0.87431955
mereja.com,-1,url,37439,-1,37439,0,0.8742734
friedliche-loesungen.org,-1,url,15035,-1,15035,0,0.8742699
bencarsonteam.club,-1,url,40022,-1,40022,0,0.8742281
dan-news.ru,-1,url,41236,-1,41236,0,0.87360775
daylightdisinfectant.com,-1,url,16444,-1,16444,0,0.8730824
visualconsumer.blogspot.com,-1,url,43108,-1,42971,0,0.87305146
doccartoon.blogspot.com,-1,url,28162,-1,28162,0,0.8729993
ebbcnews.com,-1,url,23968,-1,23968,0,0.8729616
thenextpresidentvisitsnevada.blogspot.com,-1,url,42050,-1,42050,0,0.8726737
berica-antennaparabolica.blogspot.com,-1,url,39114,-1,39114,0,0.87225264
bilkolechenie.net,-1,url,24470,-1,24470,0,0.8721185
eorense.com,-1,url,38577,-1,38577,0,0.8721113
wakeuphb.blogspot.com,-1,url,15037,-1,15037,0,0.8717806
uncabob.blogspot.com,-1,url,43082,-1,42953,0,0.87175024
tradinglift.com,-1,url,29215,-1,29215,0,0.8716758
greataustraliandream.net.au,-1,url,23914,-1,23914,0,0.8715695
politnews.org,-1,url,41068,-1,41068,0,0.8713243
gomerpedia.org,-1,url,28161,-1,28161,0,0.8705113
alcesteilblog.blogspot.com,-1,url,43574,-1,43199,0,0.8704701
sakerlatam.org,-1,url,31629,-1,31629,0,0.8703199
deiverbumdei.blogspot.com,-1,url,30314,-1,30314,0,0.87010604
raymond-walden.blogspot.com,-1,url,24473,-1,24473,0,0.8699968
stopthestealcenter.blogspot.com,-1,url,43255,-1,43027,0,0.8698806
consmedia.club,-1,url,40024,-1,40024,0,0.86975867
ancientbritonpetros.blogspot.com,-1,url,38194,-1,38194,0,0.8697163
inteldrops.com,-1,url,38649,-1,38649,0,0.86958057
worldpeacefull.com,-1,url,42039,-1,42039,0,0.8695747
interieurjournaal.com,-1,url,37993,-1,37993,0,0.86955667
iznewmania.blogspot.com,-1,url,37092,-1,37092,0,0.8694965
mountainastrologer.com,-1,url,40561,-1,40561,0,0.8694613
nurembergtrials.net,-1,url,38193,-1,38193,0,0.8689763
coinscryptoswap.com,-1,url,21173,-1,21173,0,0.8689346
kissifrot.fr,-1,url,40572,-1,40572,0,0.86851954
aktuelle-nachrichten.app,-1,url,14447,-1,14447,0,0.8684488
ninetymilesfromtyranny.blogspot.com,-1,url,37076,-1,37076,0,0.867987
pagantroop.blogspot.com,-1,url,29208,-1,29208,0,0.8678864
e-militia.com,-1,url,43256,-1,43028,0,0.8678394
consumeproduct.win,-1,url,40958,-1,40958,0,0.8677834
thewashingtongazette.com,-1,url,38974,-1,38974,0,0.86775154
alles-nur-programm.blogspot.com,-1,url,32171,-1,32171,0,0.8675193
traumabasedmindcontrol.com,-1,url,43567,-1,43192,0,0.8672262
voiceofeurope.eu,-1,url,41436,-1,41436,0,0.8668156
attorneyindependence.blogspot.com,-1,url,40030,-1,40030,0,0.8663507
verkehrt.eu,-1,url,26575,-1,26575,0,0.8660641
horizont-13.blogspot.com,-1,url,23054,-1,23054,0,0.86596453
zret.blogspot.com,-1,url,40384,-1,40384,0,0.86560297
cuttingedgefinland.org,-1,url,39712,-1,39712,0,0.86557347
polykahr-standingby.blogspot.com,-1,url,37174,-1,37174,0,0.86538875
mmstestimonials.com,-1,url,32083,-1,32083,0,0.86529523
altdevsite.com,-1,url,31349,-1,31349,0,0.8652399
sapo.mz,-1,url,43662,-1,43243,0,0.8651182
tamasidr.hu,-1,url,42328,-1,42328,0,0.86466056
thedailycoin.org,-1,url,39898,-1,39898,0,0.8642037
indiemediaeastcoastcanada.blogspot.com,-1,url,29946,-1,29946,0,0.8641559
whygodreallyexists.com,-1,url,39192,-1,39192,0,0.8635282
excellencemattersmost.org,-1,url,36431,-1,36431,0,0.86348414
platoblockchain.net,-1,url,21171,-1,21171,0,0.8632345
alawata-rebellion.blogspot.com,-1,url,40613,-1,40613,0,0.862329
ineineandrewelt.org,-1,url,38452,-1,38452,0,0.8621926
nouveau-monde.ca,-1,url,12640,-1,12640,0,0.8621837
harbingersdaily.com,-1,url,42404,-1,42404,0,0.8618413
paulcraigrobertstranslations.blogspot.com,-1,url,43106,-1,42969,0,0.86168164
couponvai.com,-1,url,26169,-1,26169,0,0.8613388
guydads.blogspot.com,-1,url,36370,-1,36370,0,0.86127365
ilgiornaledellasera.blogspot.com,-1,url,41185,-1,41185,0,0.8609511
polemiquepolitique.blogspot.com,-1,url,15170,-1,15170,0,0.8609026
ivanolandi.blogspot.com,-1,url,21626,-1,21626,0,0.86086684
tankerenemy.it,-1,url,40387,-1,40387,0,0.86069703
kryptocurrency.in,-1,url,21175,-1,21175,0,0.86050534
net-news-express.de,-1,url,20971,-1,20971,0,0.8603119
emergencyfood.news,-1,url,30327,-1,30327,0,0.8601717
rockymountainsurvival.blogspot.com,-1,url,32637,-1,32637,0,0.86010176
hitchingstiks.blogspot.com,-1,url,32638,-1,32638,0,0.86009383
