"url","backlinks","refpages","pages","valid_pages","text","image","nofollow","ugc","sponsored","dofollow","redirect","canonical","gov","edu","rss","alternate","html_pages","links_internal","links_external","refdomains","refclass_c","refips","linked_root_domains"
nutraingredients-usa.com,144922,110606,1,1.0,144001,5751,13482.0,498.0,15,130479,459,409,4,429,42,1,1,0,0,10936,5135,8656,0.0
nutraingredients.com,2069746,1920671,0,0.0,2069156,1772219,12844.0,841.0,5,2056291,133,356,16,423,90,2,0,0,0,11084,5479,8939,0.0
nutritionix.com,458047,384824,23278,23241.0,457310,4257,328480.0,575.0,44,128811,37,0,12,133,6,0,20670,72595,25366,8388,3764,7133,213.0
nvic.org,524962,212637,26149,26145.0,524679,71142,30629.0,2743.0,4,494040,259,5,14,303,7,5,23811,2533188,368814,7646,3664,5639,2411.0
nwahomepage.com,203517,119383,91991,91964.0,191027,22076,67179.0,2953.0,10,123841,199,11685,78,1354,29,479,65861,8591975,2393008,17758,6033,10612,6666.0
nwaonline.com,1770790,326759,967132,965504.0,1768153,41339,95478.0,1723.0,20,1672662,1741,359,529,9567,282,2,494478,45292811,9955318,19319,7267,13491,4433.0
nwnatural.com,73894,15781,670,670.0,73552,7586,6486.0,25.0,5,67062,94,0,574,230,0,0,452,22875,4066,2236,1402,1836,317.0
ny1.com,1405821,649057,47503,47501.0,1307011,21119,181124.0,3735.0,92,1125714,2873,95671,2921,9307,90,1,16361,657729,143743,39296,13412,27203,1222.0
nydailynews.com,29363371,11357722,7295368,7293915.0,29255617,1795534,2304409.0,138618.0,5952,26946299,7559,96672,7596,89009,1537,81,5823573,898759254,83896514,402386,51632,134787,23147.0
nymag.com,47612388,8634147,1427173,1427142.0,46756325,5675657,1324085.0,72433.0,2494,45429603,6765,17606,6978,62112,2777,474,356256,25197424,9753114,493236,51449,134362,63153.0
nymeta.co,1162,566,891,891.0,1161,21,327.0,54.0,2,826,1,0,0,6,0,0,652,25142,2562,235,213,232,119.0
nypost.com,59284874,20481634,1744229,1744088.0,59009705,4644642,6097649.0,287036.0,13603,52902112,40188,25220,13478,793393,11054,1893,1460810,138790540,54481047,544043,73899,220421,68435.0
nysun.com,2008557,831389,26521,26521.0,2007510,13108,143947.0,5347.0,92,1863460,321,352,685,5713,139,0,11191,225363,104883,26845,9129,15995,2537.0
nytcrosswordanswers.org,59910,41013,175999,175995.0,59628,264,11739.0,6.0,11,47884,11,0,0,195,0,0,140276,4557115,154453,3254,1880,2734,16.0
nytimes.com,548601691,171421476,6173753,6171909.0,546882139,15739157,47967387.0,1498947.0,74929,498809870,201761,434931,565437,28721912,111985,660288,3062343,228000984,29118780,1808471,191713,636930,335141.0
nzherald.co.nz,14689451,3632926,2071605,2071404.0,14627389,850957,2474438.0,142712.0,851,12133861,55330,3893,10429,208360,2052,98,1771546,147396775,45120582,144586,33696,79072,59115.0
o3essentials.com,106,39,34,34.0,106,6,6.0,0.0,0,100,0,0,0,0,0,0,26,136,203,23,22,23,7.0
observer-reporter.com,241281,178463,215857,215312.0,240403,4501,40005.0,1470.0,1,200397,171,83,108,2533,312,294,172338,8291062,1718130,13862,5592,10299,2546.0
observer.com,12754509,3629089,541548,541548.0,12719635,214480,1732805.0,434228.0,730,10985812,11752,12265,1806,357334,1145,9181,453234,20388921,5913312,161785,36441,84794,55528.0
ocala.com,786451,179746,672774,672311.0,769655,22038,158060.0,2365.0,1,611497,114,16497,57,2246,98,2,135566,3313542,1166873,15933,6016,10157,17562.0
occrp.org,3936135,1131541,172894,172852.0,3932860,3362309,79235.0,3086.0,12,3853578,1067,17,113,1524,170,0,128862,4002387,1242361,24622,10890,20029,8981.0
occupy.com,416041,223481,124,124.0,415969,53654,65831.0,1593.0,0,350132,43,2,7,14246,18,0,0,0,0,6944,3292,4658,0.0
occupydemocrats.com,354279,102532,4568,4566.0,354066,3720,12026.0,1612.0,0,342027,118,27,0,127,2,2,3265,89931,55857,3634,2072,2686,1176.0
ocregister.com,12244872,3732680,4247590,4247548.0,11718105,585691,817063.0,34227.0,204,10900486,6667,478267,6633,56442,3578,26917,1915771,76789106,25223905,164679,27515,64027,57197.0
odusports.com,96158,79929,18,18.0,95949,6257,10487.0,343.0,5,85455,172,30,6,32761,2,0,18,65,24,3261,2025,2759,16.0
odysee.com,22761638,14105697,702143,702037.0,21767614,2331507,1927287.0,86739.0,1160,19834702,8252,53,101,1396,1527,7,701297,966742,459632,37955,16514,34920,14454.0
offerup.com,2799277,1903945,8766,8766.0,2798469,2481775,114641.0,2534.0,50,2683742,694,8,2505,11014,1,0,198,9924,415,129638,12248,26088,91.0
